order_id,customer_id,order_purchase_timestamp,customer_city,customer_state,product_category,price,freight_value,warehouse_processing_days,distance_km,traffic_index,weather_severity,seller_id,shipping_limit_date,delivery_days_actual,order_delivered_customer_date,order_estimated_delivery_date,delivery_status,delivery_speed_km_h,purchase_month,purchase_dow,purchase_hour,is_peak_season,is_weekend,freight_ratio,customer_city_encoded,customer_state_encoded,product_category_encoded,delivery_status_encoded
ORD-00000,CUST-1324,2024-04-12,Bangalore,KA,home_decor,851.28,271.19,3,525.010561869261,2.7931812906328126,7.814601458306384,SELLER-623,2024-04-15,7.5,2024-04-19 12:00:00,2024-04-17 15:00:04.562727520,At Risk,2.9167253437181166,4,4,0,0,0,0.3181935514150279,1,2,5,0
ORD-00001,CUST-4557,2024-12-14,Mumbai,MH,grocery,41060.21,243.47,1,699.0743849068409,9.3141032779306,4.32083712852068,SELLER-918,2024-12-18,6.4,2024-12-20 09:36:00,2024-12-20 11:53:20.134279754,On-Time,4.551265526737245,12,5,0,1,1,0.005929440462178294,8,3,3,2
ORD-00002,CUST-4587,2024-09-27,Kolkata,WB,grocery,18311.33,243.86,3,942.7210574576006,6.833362812802139,5.94776214790835,SELLER-220,2024-09-30,10.2,2024-10-07 04:48:00,2024-10-04 17:07:35.496821683,Delayed,3.8509847118366043,9,4,0,0,0,0.01331671065342313,6,8,3,1
ORD-00003,CUST-1151,2024-04-16,Delhi,DL,grocery,27267.9,352.89,3,187.3280913153856,2.6246031140068338,3.486998091391852,SELLER-855,2024-04-18,5.0,2024-04-21 00:00:00,2024-04-19 22:28:45.735448244,At Risk,1.5610674276282133,4,1,0,0,0,0.012941116069955148,3,0,3,0
ORD-00004,CUST-1954,2024-03-12,Ahmedabad,GJ,books,34026.38,329.72,0,112.22622134172174,6.450313345519501,3.2670921498038274,SELLER-763,2024-03-14,2.6,2024-03-14 14:24:00,2024-03-15 13:28:01.727619623,On-Time,1.798497136886566,3,1,0,0,0,0.00968984388454239,0,1,0,2
ORD-00005,CUST-5354,2024-07-07,Lucknow,UP,home_decor,35280.16,162.65,0,61.56702785787942,8.485724095820462,7.566917732760338,SELLER-763,2024-07-10,3.2,2024-07-10 04:48:00,2024-07-10 07:23:16.956034604,On-Time,0.8016540085661381,7,6,0,0,1,0.004610109191421143,7,7,5,2
ORD-00006,CUST-8160,2024-01-21,Chennai,TN,books,47821.01,377.42,1,441.6811670838208,4.016302083327687,4.539327823035617,SELLER-287,2024-01-25,4.1,2024-01-25 02:24:00,2024-01-26 05:00:06.264180210,On-Time,4.488629746786797,1,6,0,0,1,0.007892181863539403,2,6,0,2
ORD-00007,CUST-1687,2024-04-12,Pune,MH,sports,26801.33,173.85,2,626.9158936625973,8.299575091561822,2.121612629310292,SELLER-112,2024-04-15,8.2,2024-04-20 04:48:00,2024-04-18 03:13:47.666062243,Delayed,3.1855482401554744,4,4,0,0,0,0.006486376371009535,9,3,6,1
ORD-00008,CUST-9501,2024-05-01,Lucknow,UP,grocery,20286.12,225.48,1,842.1478231837516,1.5441494433999237,2.0193816194186587,SELLER-702,2024-05-03,6.7,2024-05-07 16:48:00,2024-05-08 05:03:27.859615384,On-Time,5.2372377063666145,5,2,0,0,0,0.011114441083800953,7,7,3,2
ORD-00009,CUST-4127,2024-08-02,Delhi,DL,sports,47708.33,291.02,0,685.8184334702,8.22781364866168,8.591723615699337,SELLER-299,2024-08-04,5.3,2024-08-07 07:12:00,2024-08-08 10:17:53.563259126,On-Time,5.391654351180819,8,4,0,0,0,0.006099855101717001,3,0,6,2
